6.3483578714477495, 5.397596330053595e-28
7.475975273823644, 5.45619958993268e-28
8.804169872085213, 5.660219980614851e-28
10.52372757533965, 5.93727398541535e-28
12.394080960444922, 6.439043771542533e-28
14.596847148915826, 6.983219031779257e-28
17.191344193304182, 7.657954067928437e-28
20.247090558482867, 8.429027141919667e-28
24.203156695565625, 9.311886252747622e-28
28.506039954176075, 1.0479678758377364e-27
33.574053725199555, 1.1837660488396997e-27
39.54327974455094, 1.3421201353043645e-27
46.57465551514922, 1.5443556182798062e-27
55.73830423935864, 1.81499979328421e-27
65.64982820034875, 2.0995637930172735e-27
77.05229028981601, 2.4689018678960132e-27
90.75500280349338, 2.8833021584270004e-27
106.89505411265006, 3.379746196824808e-27
127.43527031821232, 4.108796173936243e-27
150.15880215358732, 5.000505614958532e-27
178.3184873017872, 6.124389437610139e-27
210.93175414841158, 7.371165265560239e-27
248.44773676373885, 8.736809889169329e-27
293.88523002545867, 1.0459951259671671e-26
348.9957758793473, 1.2736564770883253e-26
411.2231730343457, 1.5394517561205894e-26
490.247478572537, 1.891427686419941e-26
577.4554997022582, 2.2837285941477176e-26
677.7739450964606, 2.7574148829321843e-26
805.1891987513173, 3.463971134635931e-26
956.542132618575, 4.2966960714263724e-26
1122.7590597977749, 5.343835457686214e-26
1338.5565762763144, 6.716638984754264e-26
1590.1865506351721, 8.410972445941253e-26
1873.0989756023057, 1.0334266421746544e-25
2225.268553667249, 1.318990070058034e-25
2643.7141507101032, 1.7158173946518506e-25
3151.881199945534, 2.177227588875631e-25
3699.534857435135, 2.682183196590916e-25
4432.79739673975, 3.556139087227243e-25
5203.157418309182, 4.476919675884331e-25
6203.371316353862, 5.73819835196136e-25
7369.782351714187, 7.393860674584354e-25
8755.546797468598, 9.557513359005043e-25
10401.963811300726, 1.2432957641809052e-24
12401.703126657572, 1.6088092033108831e-24
